transaction_id,item
1,apple
1,bread
1,milk
2,apple
2,bread
3,milk
3,cheese
4,apple
4,cheese
4,bread
5,milk
5,bread
5,cheese
6,apple
6,milk
7,bread
7,cheese
8,apple
8,bread
8,milk
9,cheese
9,bread
10,apple
10,milk
11,cheese
11,bread
12,apple
12,bread
12,milk
13,cheese
13,bread
14,apple
14,milk
15,cheese
15,bread
16,apple
16,bread
16,milk
17,cheese
17,bread
18,apple
18,milk
19,cheese
19,bread
20,apple
20,bread
20,milk
21,cheese
21,bread
22,apple
22,milk
23,cheese
23,bread
24,apple
24,bread
24,milk
25,cheese
25,bread
26,apple
26,milk
27,cheese
27,bread
28,apple
28,bread
28,milk
29,cheese
29,bread
30,apple
30,milk
31,cheese
31,bread
32,apple
32,bread
32,milk
33,cheese
33,bread
34,apple
34,milk
35,cheese
35,bread
36,apple
36,bread
36,milk
37,cheese
37,bread
38,apple
38,milk
39,cheese
39,bread
40,apple
40,bread
40,milk
41,cheese
41,bread
42,apple
42,milk
43,cheese
43,bread
44,apple
44,bread
44,milk
45,cheese
45,bread
46,apple
46,milk
47,cheese
47,bread
48,apple
48,bread
48,milk
49,cheese
49,bread
50,apple
50,milk
51,cheese
51,bread
52,apple
52,bread
52,milk
53,cheese
53,bread
54,apple
54,milk
55,cheese
55,bread
56,apple
56,bread
56,milk
57,cheese
57,bread
58,apple
58,milk
59,cheese
59,bread
60,apple
60,bread
60,milk
61,cheese
61,bread
62,apple
62,milk
63,cheese
63,bread
64,apple
64,bread
64,milk
65,cheese
65,bread
66,apple
66,milk
67,cheese
67,bread
68,apple
68,bread
68,milk
69,cheese
69,bread
70,apple
70,milk
71,cheese
71,bread
72,apple
72,bread
72,milk
73,cheese
73,bread
74,apple
74,milk
75,cheese
75,bread
76,apple
76,bread
76,milk
77,cheese
77,bread
78,apple
78,milk
79,cheese
79,bread
80,apple
80,bread
80,milk
81,cheese
81,bread
82,apple
82,milk
83,cheese
83,bread
84,apple
84,bread
84,milk
85,cheese
85,bread
86,apple
86,milk
87,cheese
87,bread
88,apple
88,bread
88,milk
89,cheese
89,bread
90,apple
90,milk
91,cheese
91,bread
92,apple
92,bread
92,milk
93,cheese
93,bread
94,apple
94,milk
95,cheese
95,bread
96,apple
96,bread
96,milk
97,cheese
97,bread
98,apple
98,milk
99,cheese
99,bread
100,apple
100,bread
100,milk